p_id,Age,Sex,Employment status,Car Access,public_trans_per_month,rideshare_per_month,Full-Time,total_rides
1,39.0,Male,Full-Time,,0,0,Full-Time,0
2,61.0,Male,Other,,0,0,Other,0
3,31.0,Male,Full-Time,,0,0,Full-Time,0
4,35.0,Female,Other,,2,0,Other,2
5,52.0,Male,Full-Time,,4,2,Full-Time,6
6,42.0,Male,Full-Time,,0,0,Full-Time,0
7,30.0,Male,Full-Time,,0,2,Full-Time,2
8,48.0,Male,Full-Time,,1,2,Full-Time,3
9,45.0,Male,Full-Time,,0,2,Full-Time,2
10,42.0,Female,Full-Time,,1,1,Full-Time,2
11,36.0,Female,Other,,4,2,Other,6
12,53.0,Male,Full-Time,,0,0,Full-Time,0
13,34.0,Male,Full-Time,,4,4,Full-Time,8
14,37.0,Female,Other,,0,1,Other,1
15,26.0,Female,Full-Time,,3,3,Full-Time,6
16,65.0,Male,Full-Time,,1,1,Full-Time,2
17,42.0,Male,Full-Time,,2,3,Full-Time,5
18,41.0,Male,Other,,0,1,Other,1
19,40.0,Female,Full-Time,,2,1,Full-Time,3
20,39.0,Female,Full-Time,,3,3,Full-Time,6
21,23.0,Female,Full-Time,,4,3,Full-Time,7
22,38.0,Female,Full-Time,,2,2,Full-Time,4
23,28.0,Male,Full-Time,,3,3,Full-Time,6
24,32.0,Female,Full-Time,,2,3,Full-Time,5
25,36.0,Male,Part-Time,,2,1,Other,3
26,60.0,Female,Full-Time,,4,4,Full-Time,8
27,34.0,Female,Full-Time,,1,0,Full-Time,1
28,60.0,Male,Other,,0,0,Other,0
29,37.0,Male,Other,,3,3,Other,6
30,24.0,Male,Full-Time,,1,2,Full-Time,3
31,23.0,Female,Full-Time,,4,4,Full-Time,8
32,33.0,Male,Full-Time,,2,2,Full-Time,4
33,29.0,Female,Full-Time,,4,2,Full-Time,6
34,28.0,Female,Part-Time,,3,3,Other,6
35,43.0,Female,Full-Time,,0,0,Full-Time,0
36,29.0,Female,Full-Time,,1,2,Full-Time,3
37,51.0,Female,Full-Time,,3,2,Full-Time,5
38,75.0,Female,Other,,0,0,Other,0
39,53.0,Male,Full-Time,,2,2,Full-Time,4
40,32.0,Male,Full-Time,,2,1,Full-Time,3
41,37.0,Female,Full-Time,,4,3,Full-Time,7
42,24.0,Female,Full-Time,,2,3,Full-Time,5
43,67.0,Female,Other,,2,0,Other,2
44,23.0,Female,Full-Time,,4,4,Full-Time,8
45,39.0,Male,Full-Time,,2,1,Full-Time,3
46,64.0,Male,Full-Time,,3,2,Full-Time,5
47,33.0,Female,Full-Time,,4,3,Full-Time,7
48,41.0,Female,Full-Time,,2,2,Full-Time,4
49,50.0,Female,Full-Time,,1,1,Full-Time,2
50,39.0,Female,Full-Time,,2,0,Full-Time,2
51,23.0,Female,Part-Time,,3,3,Other,6
52,46.0,Female,Part-Time,,3,1,Other,4
53,37.0,Female,Full-Time,,1,3,Full-Time,4
54,25.0,Female,Full-Time,,2,3,Full-Time,5
55,33.0,Male,Other,,0,0,Other,0
56,44.0,Male,Full-Time,,0,1,Full-Time,1
57,24.0,Female,Full-Time,,2,1,Full-Time,3
58,63.0,Male,Part-Time,,0,0,Other,0
59,25.0,Female,Other,,4,3,Other,7
60,27.0,Female,Other,,4,3,Other,7
61,40.0,Female,Full-Time,,2,2,Full-Time,4
62,44.0,Female,Full-Time,,3,2,Full-Time,5
63,28.0,Female,Full-Time,,3,2,Full-Time,5
64,46.0,Male,Full-Time,,4,2,Full-Time,6
65,27.0,Female,Full-Time,,4,2,Full-Time,6
66,,,,,0,0,,0
67,32.0,Female,Full-Time,,3,2,Full-Time,5
68,27.0,Male,Full-Time,,4,3,Full-Time,7
69,22.0,Male,Other,,4,3,Other,7
70,35.0,Female,Full-Time,,1,1,Full-Time,2
71,56.0,Female,Full-Time,,4,4,Full-Time,8
72,48.0,Female,Full-Time,,1,3,Full-Time,4
73,32.0,Male,Part-Time,,3,3,Other,6
74,37.0,Female,Full-Time,,3,4,Full-Time,7
75,37.0,Male,Full-Time,,3,3,Full-Time,6
76,41.0,Male,Full-Time,,3,3,Full-Time,6
77,56.0,Male,Other,,1,1,Other,2
78,28.0,Male,Full-Time,,3,3,Full-Time,6
79,68.0,Female,Other,,0,0,Other,0
80,30.0,Female,Part-Time,,4,2,Other,6
81,73.0,Female,Part-Time,,1,1,Other,2
82,47.0,Female,Full-Time,,1,2,Full-Time,3
83,25.0,Male,Part-Time,,4,3,Other,7
84,47.0,Female,Full-Time,,3,4,Full-Time,7
85,58.0,Male,Full-Time,,2,3,Full-Time,5
86,43.0,Male,Full-Time,,4,4,Full-Time,8
87,56.0,Female,Part-Time,,4,4,Other,8
88,27.0,Female,Full-Time,,2,2,Full-Time,4
89,44.0,Female,Full-Time,,3,3,Full-Time,6
90,28.0,Female,Part-Time,,3,2,Other,5
91,40.0,Female,Full-Time,,3,4,Full-Time,7
92,34.0,Male,Full-Time,,2,2,Full-Time,4
93,47.0,Female,Full-Time,,4,3,Full-Time,7
94,35.0,Female,Full-Time,,3,1,Full-Time,4
95,56.0,Female,Part-Time,,4,3,Other,7
96,66.0,Male,Part-Time,,2,0,Other,2
97,36.0,Female,Full-Time,,4,4,Full-Time,8
98,22.0,Female,Part-Time,,3,3,Other,6
99,38.0,Male,Other,,1,0,Other,1
100,19.0,Female,Full-Time,,2,2,Full-Time,4
102,,,,,2,2,,4
103,,,,,4,1,,5
104,,,,,4,2,,6
105,,,,,0,1,,1
106,,,,Yes,0,1,,1
107,,,,Yes,0,1,,1
108,,,,Yes,4,1,,5
109,,,,Yes,4,2,,6
110,,,,No,2,2,,4
111,,,,Yes,3,1,,4
112,,,,No,4,1,,5
113,,,,No,4,1,,5
114,,,,No,4,0,,4
115,,,,Yes,4,1,,5
116,,,,No,4,0,,4
117,,,,No,4,0,,4
118,,,,Yes,2,0,,2
119,,,,No,4,1,,5
120,29.0,Male,Full-Time,Yes,1,1,Full-Time,2
121,39.0,Male,Other,Yes,2,1,Other,3
122,35.0,Male,Full-Time,Yes,3,2,Full-Time,5
123,31.0,Female,Other,Yes,0,0,Other,0
124,28.0,Male,Full-Time,No,4,1,Full-Time,5
125,30.0,Female,Other,Yes,1,1,Other,2
126,27.0,Female,Full-Time,Yes,3,2,Full-Time,5
128,50.0,Male,Full-Time,Yes,3,2,Full-Time,5
129,42.0,Male,Full-Time,Yes,3,0,Full-Time,3
130,26.0,Male,Full-Time,Yes,1,0,Full-Time,1
131,27.0,Female,Part-Time,Yes,0,0,Other,0
132,34.0,Male,Full-Time,Yes,0,0,Full-Time,0
133,21.0,Female,Other,No,4,0,Other,4
134,62.0,Male,Part-Time,Yes,1,1,Other,2
135,38.0,Female,Full-Time,Yes,3,2,Full-Time,5
136,40.0,Female,Full-Time,Yes,3,1,Full-Time,4
137,39.0,Male,Full-Time,Yes,0,0,Full-Time,0
138,28.0,Male,Full-Time,Yes,4,3,Full-Time,7
139,41.0,Female,Full-Time,Yes,2,1,Full-Time,3
140,44.0,Male,Full-Time,Yes,2,2,Full-Time,4
141,50.0,Female,Full-Time,No,3,3,Full-Time,6
142,28.0,Male,Full-Time,Yes,4,4,Full-Time,8
143,41.0,Male,Full-Time,Yes,2,2,Full-Time,4
144,18.0,Male,Other,Yes,2,1,Other,3
145,24.0,Female,Other,Yes,3,1,Other,4
146,32.0,Male,Other,Yes,0,1,Other,1
147,54.0,Male,Full-Time,Yes,0,1,Full-Time,1
148,45.0,Male,Other,Yes,0,0,Other,0
149,32.0,Male,Full-Time,Yes,0,1,Full-Time,1
150,33.0,Male,Full-Time,Yes,1,1,Full-Time,2
151,21.0,Female,Other,Yes,2,0,Other,2
152,28.0,Female,Part-Time,Yes,0,0,Other,0
153,38.0,Male,Full-Time,Yes,1,0,Full-Time,1
154,46.0,Male,Other,Yes,1,2,Other,3
155,33.0,Female,Full-Time,Yes,1,0,Full-Time,1
156,56.0,Female,Full-Time,Yes,1,2,Full-Time,3
157,30.0,Male,Full-Time,Yes,2,1,Full-Time,3
158,61.0,Female,Part-Time,Yes,1,0,Other,1
159,41.0,Male,Other,No,2,0,Other,2
160,25.0,Male,Full-Time,No,4,0,Full-Time,4
161,39.0,Female,Other,Yes,0,0,Other,0
162,36.0,Male,Full-Time,Yes,3,2,Full-Time,5
163,29.0,Female,Full-Time,No,4,2,Full-Time,6
164,43.0,Male,Full-Time,Yes,0,0,Full-Time,0
165,33.0,Male,Other,Yes,2,2,Other,4
166,27.0,Female,Part-Time,Yes,0,0,Other,0
167,60.0,Female,Full-Time,Yes,3,3,Full-Time,6
168,37.0,Female,Full-Time,Yes,2,2,Full-Time,4
169,42.0,Male,Other,No,4,2,Other,6
170,17.0,Male,Full-Time,Yes,2,0,Full-Time,2
171,33.0,Female,Full-Time,Yes,4,2,Full-Time,6
172,19.0,Male,Part-Time,Yes,3,2,Other,5
173,45.0,Female,Full-Time,Yes,3,0,Full-Time,3
174,34.0,Male,Full-Time,Yes,2,3,Full-Time,5
175,34.0,Male,Full-Time,No,3,0,Full-Time,3
176,34.0,Female,Other,Yes,0,0,Other,0
177,39.0,Female,Full-Time,Yes,0,0,Full-Time,0
178,51.0,Male,Full-Time,Yes,2,2,Full-Time,4
179,50.0,Female,Other,Yes,0,0,Other,0
180,24.0,Male,Other,Yes,3,1,Other,4
181,22.0,Female,Full-Time,Yes,3,1,Full-Time,4
182,33.0,Female,Full-Time,Yes,4,0,Full-Time,4
183,39.0,Male,Full-Time,Yes,2,3,Full-Time,5
184,23.0,Female,Full-Time,Yes,2,2,Full-Time,4
185,28.0,Female,Full-Time,Yes,4,4,Full-Time,8
186,19.0,Male,Part-Time,No,4,1,Other,5
187,50.0,Male,Full-Time,Yes,4,2,Full-Time,6
188,32.0,Male,Full-Time,Yes,3,2,Full-Time,5
189,36.0,Female,Other,No,3,2,Other,5
190,35.0,Female,Full-Time,Yes,1,0,Full-Time,1
191,53.0,Male,Other,Yes,1,0,Other,1
192,41.0,Male,Other,No,3,0,Other,3
193,45.0,Male,Full-Time,Yes,2,2,Full-Time,4
194,62.0,Female,Full-Time,Yes,1,1,Full-Time,2
195,22.0,Female,Part-Time,Yes,1,0,Other,1
196,39.0,Male,Full-Time,Yes,0,0,Full-Time,0
197,23.0,Female,Full-Time,Yes,0,1,Full-Time,1
198,23.0,Male,Part-Time,Yes,2,0,Other,2
199,25.0,Male,Part-Time,Yes,0,0,Other,0
200,43.0,Female,Other,Yes,2,3,Other,5
201,25.0,Female,Other,Yes,2,2,Other,4
202,42.0,Male,Other,Yes,4,4,Other,8
203,42.0,Male,Full-Time,Yes,1,1,Full-Time,2
204,58.0,Female,Full-Time,Yes,0,0,Full-Time,0
205,57.0,Female,Other,Yes,0,0,Other,0
206,21.0,Male,Other,Yes,2,0,Other,2
207,30.0,Male,Other,Yes,0,0,Other,0
208,36.0,Female,Full-Time,No,0,0,Full-Time,0
209,72.0,Female,Other,Yes,0,0,Other,0
210,53.0,Male,Other,Yes,0,4,Other,4
211,54.0,Male,Other,Yes,0,0,Other,0
212,66.0,Male,Full-Time,Yes,1,1,Full-Time,2
213,77.0,Female,Other,Yes,1,0,Other,1
214,34.0,Female,Part-Time,No,4,2,Other,6
215,44.0,Male,Part-Time,Yes,1,2,Other,3
216,29.0,Male,Full-Time,Yes,4,2,Full-Time,6
217,34.0,Female,Part-Time,Yes,2,2,Other,4
218,38.0,Female,Full-Time,Yes,0,0,Full-Time,0
219,62.0,Male,Part-Time,Yes,0,0,Other,0
220,41.0,Female,Full-Time,Yes,4,1,Full-Time,5
221,53.0,Male,Part-Time,Yes,1,0,Other,1
222,29.0,Female,Other,Yes,3,2,Other,5
223,23.0,Female,Full-Time,No,3,4,Full-Time,7
224,63.0,Female,Full-Time,Yes,0,1,Full-Time,1
225,43.0,Female,Full-Time,Yes,2,0,Full-Time,2
226,46.0,Male,Other,Yes,1,1,Other,2
227,32.0,Female,Full-Time,Yes,1,1,Full-Time,2
228,27.0,Male,Full-Time,Yes,3,2,Full-Time,5
229,64.0,Female,Part-Time,Yes,0,2,Other,2
230,23.0,Female,Part-Time,Yes,4,1,Other,5
231,34.0,Female,Full-Time,Yes,1,2,Full-Time,3
232,32.0,Female,Full-Time,Yes,0,3,Full-Time,3
233,23.0,Male,Part-Time,Yes,4,3,Other,7
234,32.0,Male,Full-Time,Yes,4,3,Full-Time,7
235,31.0,Male,Full-Time,Yes,3,0,Full-Time,3
236,25.0,Male,Other,No,3,2,Other,5
237,67.0,Male,Other,Yes,0,0,Other,0
238,34.0,Male,Full-Time,Yes,1,1,Full-Time,2
239,56.0,Male,Full-Time,Yes,1,2,Full-Time,3
240,37.0,Female,Full-Time,No,3,3,Full-Time,6
